"","id","Location","area","halo_lat","halo_lon","Status","date","MeanLength","month","year","mean_sst","mean_chla","total_monthly_rain","monthly_PAR","hs","vwnd","sqrtmean_chla","logmean_chla","log_rainfall","mean_sst_t1","mean_chla_t1","monthly_PAR_t1","total_monthly_rain_t1","hs_t1","vwnd_t1","mean_sst_t2","mean_chla_t2","monthly_PAR_t2","total_monthly_rain_t2","hs_t2","vwnd_t2"
"1","1","Cloates",147.972774174855,-22.6337215168295,113.638172051313,"No Take",2017-01-13,25.7044012517692,"1","2017",25.2148240469208,0.361097451920311,10,734.841692715485,2.46602968702259,5.56182803986694,0.600913847336131,-0.0186074071614202,3.30258509299405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","Cloates",79.482825409275,-22.633471917831,113.639511473693,"No Take",2017-01-13,42.030268107751,"1","2017",25.2148240469208,0.361097451920311,10,734.841692715485,2.46602968702259,5.56182803986694,0.600913847336131,-0.0186074071614202,3.30258509299405,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694,NA,NA,NA,NA,NA,NA
"3","3","Cloates",196.633012941115,-22.6341789680762,113.63998888749,"No Take",2017-01-13,31.7941820257176,"1","2017",25.2148240469208,0.361097451920311,10,734.841692715485,2.46602968702259,5.56182803986694,0.600913847336131,-0.0186074071614202,3.30258509299405,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694
"4","13","Cloates",597.732337765805,-22.6119473446322,113.636069883956,"No Take",2017-01-13,22.2949907410189,"1","2017",25.2148240469208,0.361097451920311,10,734.841692715485,2.46602968702259,5.56182803986694,0.600913847336131,-0.0186074071614202,3.30258509299405,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694
"5","14","Cloates",121.970529867941,-22.610318237818,113.636939885415,"No Take",2017-01-13,27.525402336352,"1","2017",25.2148240469208,0.361097451920311,10,734.841692715485,2.46602968702259,5.56182803986694,0.600913847336131,-0.0186074071614202,3.30258509299405,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694
"6","15","Cloates",484.471671550992,-22.6660104928697,113.646019908793,"No Take",2017-01-13,43.700520071366,"1","2017",25.2148240469208,0.361097451920311,10,734.841692715485,2.46602968702259,5.56182803986694,0.600913847336131,-0.0186074071614202,3.30258509299405,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694
"7","16","Cloates",161.947486257041,-22.6684268142968,113.646667143436,"No Take",2017-01-13,33.7025390303784,"1","2017",25.2148240469208,0.361097451920311,10,734.841692715485,2.46602968702259,5.56182803986694,0.600913847336131,-0.0186074071614202,3.30258509299405,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694
"8","18","Cloates",190.68617502384,-22.6629141405693,113.644416592949,"No Take",2017-01-13,56.7122531291342,"1","2017",25.2148240469208,0.361097451920311,10,734.841692715485,2.46602968702259,5.56182803986694,0.600913847336131,-0.0186074071614202,3.30258509299405,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694
"9","19","Cloates",427.762212990818,-22.6656128184423,113.647771236454,"No Take",2017-01-13,45.4731194856544,"1","2017",25.2148240469208,0.361097451920311,10,734.841692715485,2.46602968702259,5.56182803986694,0.600913847336131,-0.0186074071614202,3.30258509299405,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694
"10","21","Cloates",278.063779531407,-22.6668525481145,113.650310088881,"No Take",2017-01-13,48.4946604750259,"1","2017",25.2148240469208,0.361097451920311,10,734.841692715485,2.46602968702259,5.56182803986694,0.600913847336131,-0.0186074071614202,3.30258509299405,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694,25.2148240469208,0.361097451920311,734.841692715485,10,2.46602968702259,5.56182803986694
